country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name
Argentina,ARG,1/23/2021,288064,258876,29188,8462,11124,0,0,0,246,Sputnik V,Ministry of Health
Argentina,ARG,1/24/2021,292023,260036,31987,3959,10342,0,0,0,229,Sputnik V,Ministry of Health
Argentina,ARG,1/25/2021,292386,260122,32264,363,9046,0,0,0,200,Sputnik V,Ministry of Health
Argentina,ARG,1/26/2021,305880,266969,38911,13494,9626,0,0,0,213,Sputnik V,Ministry of Health
Argentina,ARG,1/27/2021,318033,272323,45710,12153,10014,0,0,0,222,Sputnik V,Ministry of Health
Argentina,ARG,1/28/2021,327999,276548,51451,9966,8896,0,0,0,197,Sputnik V,Ministry of Health
Argentina,ARG,1/29/2021,344034,278451,65583,16035,9205,0,0,0,204,Sputnik V,Ministry of Health
Argentina,ARG,1/30/2021,366384,281023,85361,22350,11189,0,0,0,248,Sputnik V,Ministry of Health
Argentina,ARG,1/31/2021,0,0,0,0,11299,0,0,0,250,Sputnik V,Ministry of Health
Argentina,ARG,2/1/2021,375851,281577,94274,0,11924,0,0,0,264,Sputnik V,Ministry of Health
Argentina,ARG,2/2/2021,0,0,0,0,11475,0,0,0,254,Sputnik V,Ministry of Health
Argentina,ARG,2/3/2021,396562,284196,112366,0,11218,0,0,0,248,Sputnik V,Ministry of Health
Argentina,ARG,2/4/2021,444018,297717,146301,47456,16574,0,0,0,367,Sputnik V,Ministry of Health
Argentina,ARG,2/5/2021,0,0,0,0,16238,0,0,0,359,Sputnik V,Ministry of Health
Argentina,ARG,2/6/2021,471383,307501,163882,0,15000,1,0,0,332,Sputnik V,Ministry of Health
Argentina,ARG,2/7/2021,501152,319316,181836,29769,18576,1,0,0,411,Sputnik V,Ministry of Health
Austria,AUT,1/10/2021,6784,6784,0,0,0,0,0,0,0,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/11/2021,11559,11559,0,4775,4775,0,0,0,530,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/12/2021,13172,13172,0,1613,3194,0,0,0,355,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/13/2021,20064,20064,0,6892,4427,0,0,0,492,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/14/2021,29359,29359,0,9295,5644,0,0,0,627,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/15/2021,39751,39751,0,10392,6593,0,0,0,732,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/16/2021,50402,50402,0,10651,7270,0,0,0,807,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/17/2021,55450,55450,0,5048,6952,0,0,0,772,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/18/2021,61012,60708,304,5562,7065,0,0,0,784,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/19/2021,71508,70474,1034,10496,8334,0,0,0,925,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/20/2021,88895,86888,2007,17387,9833,0,0,0,1092,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/21/2021,108252,105038,3214,19357,11270,1,1,0,1251,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/22/2021,124756,121216,3540,16504,12144,1,1,0,1348,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/23/2021,136348,132105,4243,11592,12278,1,1,0,1363,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/24/2021,139538,135249,4289,3190,12013,1,1,0,1334,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/25/2021,141350,137044,4306,1812,11477,1,1,0,1274,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/26/2021,150933,146587,4346,9583,11346,1,1,0,1260,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/27/2021,158985,153859,5126,8052,10013,1,1,0,1112,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/28/2021,169439,163806,5633,10454,8741,1,1,0,971,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/29/2021,181419,174262,7157,11980,8095,2,1,0,899,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/30/2021,197179,183628,13551,15760,8690,2,2,0,965,Pfizer/BioNTech,Ministry of Health
Austria,AUT,1/31/2021,200498,185291,15207,3319,8709,2,2,0,967,Pfizer/BioNTech,Ministry of Health
Austria,AUT,2/1/2021,202345,186479,15866,1847,8714,2,2,0,968,Pfizer/BioNTech,Ministry of Health
Austria,AUT,2/2/2021,208988,189926,19062,6643,8294,2,2,0,921,Pfizer/BioNTech,Ministry of Health
Austria,AUT,2/3/2021,222520,194287,28233,13532,9076,2,2,0,1008,Pfizer/BioNTech,Ministry of Health
Austria,AUT,2/4/2021,238241,198912,39329,15721,9829,2,2,0,1091,Pfizer/BioNTech,Ministry of Health
Austria,AUT,2/5/2021,252829,202160,50669,14588,10201,2,2,0,1133,Pfizer/BioNTech,Ministry of Health
Austria,AUT,2/6/2021,270267,208144,62123,17438,10441,3,2,0,1159,Pfizer/BioNTech,Ministry of Health
Austria,AUT,2/7/2021,276860,210239,66621,6593,10909,3,2,0,1211,Pfizer/BioNTech,Ministry of Health
Bahrain,BHR,12/23/2020,38965,38965,0,0,0,2,2,0,0,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,12/24/2020,50071,50071,0,11106,11106,2,2,0,6527,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,12/25/2020,50543,50543,0,472,5789,2,2,0,3402,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,12/26/2020,51556,51556,0,1013,4197,3,3,0,2467,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,12/27/2020,53614,53614,0,2058,3662,3,3,0,2152,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,12/28/2020,55014,55014,0,1400,3210,3,3,0,1886,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,12/29/2020,56041,56041,0,1027,2846,3,3,0,1673,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,12/30/2020,57317,57317,0,1276,2622,3,3,0,1541,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,12/31/2020,58643,58643,0,1326,1225,3,3,0,720,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/1/2021,59351,59351,0,708,1258,3,3,0,739,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/2/2021,60097,60097,0,746,1220,3,3,0,717,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/3/2021,60689,60689,0,592,1011,3,3,0,594,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/4/2021,61612,61612,0,923,943,3,3,0,554,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/5/2021,63893,63893,0,2281,1122,3,3,0,659,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/6/2021,68472,68472,0,4579,1594,4,4,0,937,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/7/2021,72239,72239,0,3767,1942,4,4,0,1141,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/8/2021,78291,78291,0,6052,2706,4,4,0,1590,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/9/2021,84157,84157,0,5866,3437,4,4,0,2020,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/10/2021,89250,89250,0,5093,4080,5,5,0,2398,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/11/2021,92598,92598,0,3348,4427,5,5,0,2602,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/12/2021,97776,97776,0,5178,4840,5,5,0,2844,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/13/2021,101363,101363,0,3587,4699,5,5,0,2762,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/14/2021,109566,109566,0,8203,5332,6,6,0,3134,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/15/2021,122819,122819,0,13253,6361,7,7,0,3738,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/16/2021,137159,137159,0,14340,7572,8,8,0,4450,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/17/2021,141563,141563,0,4404,7473,8,8,0,4392,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/18/2021,142831,142831,0,1268,7176,8,8,0,4217,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/19/2021,143596,143596,0,765,6546,8,8,0,3847,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/20/2021,144130,144130,0,534,6110,8,8,0,3591,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/21/2021,0,0,0,0,5457,0,0,0,3207,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/22/2021,0,0,0,0,4084,0,0,0,2400,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/23/2021,0,0,0,0,2555,0,0,0,1502,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/24/2021,0,0,0,0,2445,0,0,0,1437,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/25/2021,0,0,0,0,2784,0,0,0,1636,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/26/2021,165953,165953,0,0,3194,9,9,0,1877,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/27/2021,167731,167731,0,1778,3372,9,9,0,1982,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/28/2021,169440,169440,0,1709,3096,9,9,0,1819,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/29/2021,169810,169810,0,370,2629,9,9,0,1545,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/30/2021,170433,170433,0,623,2199,10,10,0,1292,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,1/31/2021,171568,171568,0,1135,1841,10,10,0,1082,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,2/1/2021,172912,172912,0,1344,1514,10,10,0,890,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,2/2/2021,174075,174075,0,1163,1160,10,10,0,682,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,2/3/2021,175094,175094,0,1019,1052,10,10,0,618,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,2/4/2021,177233,177233,0,2139,1113,10,10,0,654,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,2/5/2021,179550,179550,0,2317,1391,10,10,0,817,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,2/6/2021,182543,182543,0,2993,1730,10,10,0,1017,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bahrain,BHR,2/7/2021,191406,191406,0,8863,2834,11,11,0,1666,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health
Bangladesh,BGD,1/26/2021,0,0,0,0,0,0,0,0,0,Oxford/AstraZeneca,Directorate General of Health Services
Bangladesh,BGD,1/27/2021,26,26,0,26,26,0,0,0,0,Oxford/AstraZeneca,Directorate General of Health Services
Bangladesh,BGD,1/28/2021,567,567,0,541,284,0,0,0,2,Oxford/AstraZeneca,Directorate General of Health Services
Belgium,BEL,12/28/2020,298,298,0,0,0,0,0,0,0,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,12/29/2020,299,299,0,1,1,0,0,0,0,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,12/30/2020,778,778,0,479,240,0,0,0,21,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,12/31/2020,787,787,0,9,163,0,0,0,14,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/1/2021,794,794,0,7,124,0,0,0,11,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/2/2021,0,0,0,0,99,0,0,0,9,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/3/2021,0,0,0,0,83,0,0,0,7,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/4/2021,795,795,0,0,71,0,0,0,6,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/5/2021,2354,2354,0,1559,294,0,0,0,25,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/6/2021,6218,6218,0,3864,777,0,0,0,67,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/7/2021,14340,14340,0,8122,1936,0,0,0,167,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/8/2021,23484,23484,0,9144,3241,0,0,0,280,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/9/2021,26671,26671,0,3187,3697,0,0,0,319,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/10/2021,27067,27067,0,396,3753,0,0,0,324,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/11/2021,32518,32518,0,5451,4532,0,0,0,391,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/12/2021,47987,47987,0,15469,6519,0,0,0,562,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/13/2021,68578,68578,0,20591,8909,0,0,0,769,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/14/2021,91122,91122,0,22544,10969,0,0,0,946,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/15/2021,113580,113580,0,22458,12871,0,0,0,1111,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/16/2021,118563,118563,0,4983,13127,1,1,0,1133,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/17/2021,121705,121705,0,3142,13520,1,1,0,1167,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/18/2021,132119,132010,109,10414,14229,1,1,0,1228,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/19/2021,150657,150367,290,18538,14667,1,1,0,1266,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/20/2021,170936,170224,712,20279,14623,1,1,0,1262,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/21/2021,200335,199623,712,29399,15602,1,1,0,1346,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/22/2021,229010,228267,743,28675,16490,1,1,0,1423,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/23/2021,236803,236053,750,7793,16891,2,2,0,1457,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/24/2021,238648,237898,750,1845,16706,2,2,0,1441,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/25/2021,249150,248400,750,10502,16719,2,2,0,1443,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/26/2021,260607,258499,2108,11457,15707,2,2,0,1355,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/27/2021,276515,271307,5208,15908,15083,2,2,0,1301,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/28/2021,297615,285536,12079,21100,13897,2,2,0,1199,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/29/2021,315956,296182,19774,18341,12421,2,2,0,1072,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/30/2021,320130,297717,22413,4174,11904,2,2,0,1027,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,1/31/2021,321000,298281,22719,870,11765,2,2,0,1015,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,2/1/2021,327832,301868,25964,6832,11240,2,2,0,970,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,2/2/2021,348281,310480,37801,20449,12525,3,2,0,1081,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,2/3/2021,372687,318185,54502,24406,13739,3,2,0,1185,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,2/4/2021,396286,323874,72412,23599,14096,3,2,0,1216,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,2/5/2021,415876,327924,87952,19590,14274,3,2,0,1232,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,2/6/2021,419940,328568,91372,4064,14259,3,2,0,1230,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Belgium,BEL,2/7/2021,421926,328623,93303,1986,14418,3,2,0,1244,"Moderna, Pfizer/BioNTech",Sciensano via covid-vaccinatie.be
Bermuda,BMU,1/10/2021,0,0,0,0,0,0,0,0,0,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/11/2021,0,0,0,0,278,0,0,0,4464,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/12/2021,0,0,0,0,278,0,0,0,4464,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/13/2021,0,0,0,0,278,0,0,0,4464,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/14/2021,0,0,0,0,278,0,0,0,4464,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/15/2021,0,0,0,0,278,0,0,0,4464,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/16/2021,1665,0,0,0,278,2,0,0,4464,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/17/2021,0,0,0,0,264,0,0,0,4239,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/18/2021,0,0,0,0,250,0,0,0,4015,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/19/2021,0,0,0,0,236,0,0,0,3790,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/20/2021,0,0,0,0,222,0,0,0,3565,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/21/2021,0,0,0,0,209,0,0,0,3356,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/22/2021,0,0,0,0,195,0,0,0,3131,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/23/2021,2932,0,0,0,181,4,0,0,2907,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/24/2021,0,0,0,0,195,0,0,0,3131,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/25/2021,0,0,0,0,209,0,0,0,3356,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/26/2021,0,0,0,0,224,0,0,0,3597,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/27/2021,0,0,0,0,238,0,0,0,3822,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/28/2021,0,0,0,0,252,0,0,0,4047,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/29/2021,0,0,0,0,266,0,0,0,4272,Pfizer/BioNTech,Government of Bermuda
Bermuda,BMU,1/30/2021,4897,0,0,0,281,7,0,0,4512,Pfizer/BioNTech,Government of Bermuda
Bolivia,BOL,1/28/2021,0,0,0,0,0,0,0,0,0,Sputnik V,Ministry of Health
Bolivia,BOL,1/29/2021,12,0,0,12,12,0,0,0,1,Sputnik V,Ministry of Health
Bolivia,BOL,1/30/2021,39,0,0,27,20,0,0,0,2,Sputnik V,Ministry of Health
Bolivia,BOL,1/31/2021,67,0,0,28,22,0,0,0,2,Sputnik V,Ministry of Health
Bolivia,BOL,2/1/2021,570,0,0,503,142,0,0,0,12,Sputnik V,Ministry of Health
Bolivia,BOL,2/2/2021,1593,0,0,1023,319,0,0,0,27,Sputnik V,Ministry of Health
Bolivia,BOL,2/3/2021,3560,0,0,1967,593,0,0,0,51,Sputnik V,Ministry of Health
Brazil,BRA,1/16/2021,0,0,0,0,0,0,0,0,0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/17/2021,112,112,0,112,112,0,0,0,1,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/18/2021,1109,1109,0,997,554,0,0,0,3,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/19/2021,11470,11470,0,10361,3823,0,0,0,18,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/20/2021,28543,28543,0,17073,7136,0,0,0,34,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/21/2021,136519,136519,0,107976,27304,0,0,0,128,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/22/2021,245877,245877,0,109358,40980,0,0,0,193,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/23/2021,537774,537774,0,291897,76825,0,0,0,361,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/24/2021,604722,604722,0,66948,86373,0,0,0,406,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/25/2021,700608,700608,0,95886,99928,0,0,0,470,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/26/2021,848883,848883,0,148275,119630,0,0,0,563,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/27/2021,1129885,1129885,0,281002,157335,0,0,0,740,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/28/2021,1450900,1450900,0,321015,187769,0,0,0,883,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/29/2021,1668032,1656851,0,217132,203165,0,0,0,956,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/30/2021,2003211,1923813,0,335179,209348,0,0,0,985,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
Brazil,BRA,1/31/2021,2074059,2046523,0,70848,209905,0,0,0,988,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil
